Granularity,Member,Revenue,COGS,Shipping,Tax,GrossProfit,NetProfit,GrossMargin,NetMargin,RevenueLY
State,FR / Loiret,91562.905599999998,53804.3773,2289.0816,7325.0325999999995,37758.528299999998,28144.414100000002,0.41237800452675893,0.30737790501047624,
State,FR / Moselle,94046.229500000001,55106.717400000001,2351.1648999999998,7523.6985999999997,38939.5121,29064.648600000004,0.41404649933360699,0.3090463993561805,
State,FR / Nord,391400.20140000002,230512.80679999999,9785.0427999999993,31312.016599999999,160887.39460000003,119790.33520000003,0.41105598317149977,0.3060558854377739,
State,FR / Pas de Calais,11342.922499999999,6585.6626999999999,283.5752,907.43380000000002,4757.2597999999989,3566.2507999999989,0.41940335923127392,0.3144031707877753,
State,FR / Seine (Paris),539725.80000000005,317765.6948,13493.1986,43178.065300000002,221960.10520000005,165288.84130000003,0.41124605345899717,0.3062459517406802,
State,FR / Seine Saint Denis,379479.74790000002,223531.2273,9487.0323000000008,30358.380499999999,155948.52060000002,116103.10780000003,0.41095347370446594,0.30595337021936508,
State,FR / Seine et Marne,109735.2384,64559.661199999995,2743.3901000000001,8778.8192999999992,45175.577200000007,33653.367800000007,0.41167794282570225,0.30667785745658893,
State,FR / Somme,29555.2814,17510.178,738.88530000000003,2364.4225999999999,12045.1034,8941.7955000000002,0.40754487284292951,0.30254475939450876,
State,FR / Val d'Oise,46755.900300000001,27497.9274,1168.904,3740.4721,19257.972900000001,14348.596800000003,0.41188326556509491,0.3068831250801517,
State,FR / Val de Marne,28478.124599999999,16517.382699999998,711.95690000000002,2278.25,11960.741900000001,8970.5350000000017,0.41999752680343289,0.31499739277073047,
State,FR / Yveline,268664.79580000002,158266.63649999999,6716.6418999999996,21493.1842,110398.15930000003,82188.333200000023,0.41091412431341712,0.30591404041332915,
State,GB / England,3391712.2108999998,2001221.4328999999,84793.123500000002,271336.98190000001,1390490.7779999999,1034360.6725999999,0.40996720580577489,0.30496711049830777,
State,US / Alabama,37.289999999999999,13.9465,0.93230000000000002,2.9831999999999996,23.343499999999999,19.427999999999997,0.62599892732636098,0.52099758648431205,
State,US / Arizona,2104.0196000000001,1130.0482999999999,52.600499999999997,168.32160000000002,973.97130000000016,753.04920000000016,0.46290980369194284,0.35790978373015164,
State,US / California,5714257.6925999997,3344241.0052,142856.9743,457140.6249,2370016.6873999997,1770019.0881999999,0.41475495416827046,0.30975485940933078,
State,US / Florida,7760.9096,4447.6287000000002,194.0232,620.87279999999998,3313.2808999999997,2498.3848999999996,0.42691914617843246,0.32191908278380149,
State,US / Georgia,1658.9200000000001,966.08969999999999,41.473300000000002,132.71359999999999,692.83030000000008,518.64340000000016,0.41763936778144822,0.31263918694090137,
State,US / Illinois,2828.0896000000002,1563.9243000000001,70.7029,226.24720000000002,1264.1653000000001,967.2152000000001,0.44700327033485787,0.3420030256467122,
State,US / Kentucky,216.96000000000001,81.143100000000004,5.4241000000000001,17.3568,135.8169,113.036,0.62599972345132748,0.52099926253687312,
State,US / Massachusetts,2049.0981999999999,1105.8099999999999,51.227499999999999,163.92789999999999,943.28819999999996,728.13279999999997,0.46034309141455493,0.35534304798081418,
State,US / Minnesota,91.280000000000001,55.518799999999999,2.2821000000000002,7.3024000000000004,35.761200000000002,26.176700000000004,0.39177475898334796,0.28677366345311134,
State,US / Mississippi,82.590000000000003,50.684699999999999,2.0648,6.6072000000000006,31.905300000000004,23.233300000000007,0.3863094805666546,0.28130887516648512,
State,US / Missouri,81.460000000000008,30.466099999999997,2.0366,6.5167999999999999,50.993900000000011,42.440500000000014,0.62599926344218026,0.52099803584581406,
State,US / Montana,92.079999999999998,34.438000000000002,2.3020999999999998,7.3664000000000005,57.641999999999996,47.973499999999994,0.62599913119026929,0.520998045178106,
State,US / New York,4124.1899999999996,2386.0020999999997,103.1052,329.93520000000001,1738.1878999999999,1305.1475,0.42146164458960428,0.31646153547726952,
State,US / North Carolina,7.2800000000000002,2.7228000000000003,0.18209999999999998,0.58240000000000003,4.5571999999999999,3.7927,0.62598901098901094,0.52097527472527472,
State,US / Ohio,359.18000000000001,137.8938,8.9801000000000002,28.734400000000001,221.28620000000001,183.57170000000002,0.61608719861907679,0.51108552814744701,
State,US / Oregon,1170991.5397000001,683677.46669999999,29274.912499999999,93679.324999999997,487314.07300000009,364359.8355000001,0.41615507582987882,0.31115496837265499,
State,US / South Carolina,2434.9199999999996,1329.2552999999998,60.8733,194.7936,1105.6646999999998,849.99779999999987,0.45408666403824355,0.34908654083091023,
State,US / Texas,1789.0999999999999,1016.3612999999999,44.728200000000001,143.12799999999999,772.73869999999999,584.88249999999994,0.43191476161198372,0.32691437035380916,
State,US / Utah,4419.5799999999999,2669.7501999999999,110.4898,353.56639999999999,1749.8298,1285.7736,0.39592671701835919,0.29092664913860594,
State,US / Virginia,39.980000000000004,14.9526,0.99960000000000004,3.1983999999999999,25.027400000000004,20.829400000000003,0.62599799899949982,0.52099549774887444,
State,US / Washington,2467248.3415000001,1439644.2489999998,61681.472499999996,197379.87169999999,1027604.0925000003,768542.74830000021,0.41649803759732318,0.31149792883547073,
State,US / Wyoming,7115.0100000000002,4209.3508999999995,177.87559999999999,569.20079999999996,2905.6591000000008,2158.5827000000008,0.40838440142740495,0.30338435223562593,
Category,Accesorio,700759.95999999996,262085.39189999999,17520.556,56060.796799999996,438674.56809999997,365093.21529999998,0.62599833486490863,0.52099611299138726,
Category,Bicicleta,28318144.650699999,16812348.1501,707954.31090000004,2265451.6244999999,11505796.500599999,8532390.5651999973,0.40630474356714558,0.30130471718559726,
Category,Prenda,339772.60999999999,203360.0337,8494.7422000000006,27181.808799999999,136412.57629999999,100736.02529999998,0.40148196848474627,0.29648071190906172,
