"Granularity","Member","Revenue","COGS","Shipping","Tax","GrossProfit","NetProfit","GrossMargin","NetMargin","RevenueLY","RevenueDeltaLY","RevenueDeltaLYPct","GrossMarginDeltaLY","NetMarginDeltaLY","GrossResidual","NetResidual","GrossMarginResidual","NetMarginResidual"
"State","FR / Garonne (Haute)","54641.7232","32574.520700000001","1366.048","4371.3379000000004","22067.202499999999","16329.8166","0.40385260946528861","0.29885251861895895","54605.453200000004","36.270000000000003","0.00066421937507149932","0.00014755240333202968","0.00014754971669556083","0","0","0","0"
"State","FR / Hauts de Seine","263416.18540000002","155402.1936","6585.4294","21073.295399999999","108013.9918","80355.267000000007","0.41005070222233958","0.30505060605133189","263150.82539999997","265.36000000000001","0.0010083950890013055","4.7758716466783646E-05","4.7756153373712529E-05","0","0","0","0"
"State","FR / Loir et Cher","21473.739600000001","12432.280000000001","536.84619999999995","1717.8992000000001","9041.4596000000001","6786.7142000000003","0.42104727767118866","0.31604714998034156","21451.759600000001","21.98","0.0010246245720560844","0.00021000052773234579","0.00021000065856752181","0","0","0","0"
"State","FR / Loiret","91562.905599999998","53804.3773","2289.0816","7325.0325999999995","37758.528299999998","28144.414100000002","0.41237800452675893","0.30737790501047618","91562.905599999998","0","0","0","0","0","0","0","0"
"State","FR / Moselle","94046.229500000001","55106.717400000001","2351.1649000000002","7523.6985999999997","38939.5121","29064.6486","0.41404649933360699","0.30904639935618045","93827.309500000003","218.91999999999999","0.0023332226104170661","0.00024560589543376476","0.00024560186555216967","0","0","0","0"
"State","FR / Nord","391400.20140000002","230512.80679999999","9785.0427999999993","31312.016599999999","160887.3946","119790.3352","0.41105598317149972","0.30605588543777384","390650.54139999999","749.65999999999997","0.0019190041240270503","0.00030201333199958436","0.00030200942381880536","0","0","0","0"
"State","FR / Pas de Calais","11342.922500000001","6585.6626999999999","283.5752","907.43380000000002","4757.2597999999998","3566.2507999999998","0.41940335923127398","0.31440317078777535","11342.922500000001","0","0","0","0","0","0","0","0"
"State","FR / Seine (Paris)","539725.80000000005","317765.6948","13493.1986","43178.065300000002","221960.10519999999","165288.8413","0.41124605345899712","0.3062459517406802","539095.71999999997","630.08000000000004","0.0011687720318016993","0.00018786067646120452","0.00018785782741376211","0","0","0","0"
"State","FR / Seine et Marne","109735.2384","64559.661200000002","2743.3901000000001","8778.8192999999992","45175.5772","33653.3678","0.41167794282570219","0.30667785745658888","109533.0784","202.16","0.0018456525001674744","0.00039555984102018771","0.00039555452078460229","0","0","0","0"
"State","FR / Seine Saint Denis","379479.74790000002","223531.2273","9487.0323000000008","30358.380499999999","155948.52059999999","116103.1078","0.41095347370446589","0.30595337021936503","379191.14789999998","288.60000000000002","0.00076109371644959758","0.00016366871387318849","0.00016366641916193414","0","0","0","0"
"State","FR / Somme","29555.2814","17510.178","738.88530000000003","2364.4225999999999","12045.1034","8941.7955000000002","0.40754487284292951","0.30254475939450876","29555.2814","0","0","0","0","0","0","0","0"
"State","FR / Val de Marne","28478.124599999999","16517.382699999998","711.95690000000002","2278.25","11960.741900000001","8970.5349999999999","0.41999752680343283","0.31499739277073041","28429.154600000002","48.969999999999999","0.0017225274788860588","0.0002296171379094214","0.00022961209251071146","0","0","0","0"
"State","FR / Val d'Oise","46755.900300000001","27497.9274","1168.904","3740.4721","19257.972900000001","14348.596799999999","0.41188326556509491","0.30688312508015164","46646.660300000003","109.23999999999999","0.002341861117118389","0.00042510807723722399","0.00042510197490480683","0","0","0","0"
"State","FR / Yveline","268664.79580000002","158266.63649999999","6716.6418999999996","21493.1842","110398.1593","82188.333199999994","0.41091412431341701","0.30591404041332904","268327.97580000001","336.81999999999999","0.0012552548760366715","0.00018294255193629372","0.0001829396758262769","0","0","0","0"
"State","GB / England","3391712.2108999998","2001221.4328999999","84793.123500000002","271336.98190000001","1390490.7779999999","1034360.6726","0.40996720580577489","0.30496711049830777","3387998.5709000002","3713.6399999999999","0.0010961161648345959","0.00014670324542065405","0.00014670116570830727","0","0","0","0"
"State","US / Alabama","37.289999999999999","13.9465","0.93230000000000002","2.9832000000000001","23.343499999999999","19.428000000000001","0.62599892732636098","0.52099758648431216","2.29","35","15.283842794759826","1.639457526925181E-05","3.6887794355844328E-05","0","0","0","0"
"State","US / Arizona","2104.0196000000001","1130.0482999999999","52.600499999999997","168.32159999999999","973.97130000000004","753.04920000000004","0.46290980369194279","0.35790978373015159","2104.0196000000001","0","0","0","0","0","0","0","0"
"State","US / California","5714257.6925999997","3344241.0052","142856.9743","457140.6249","2370016.6874000002","1770019.0882000001","0.41475495416827046","0.30975485940933078","5705881.6326000001","8376.0599999999995","0.00146796946367485","0.00021248068162899036","0.0002124780691855066","0","0","0","0"
"State","US / Florida","7760.9096","4447.6287000000002","194.0232","620.87279999999998","3313.2809000000002","2498.3849","0.42691914617843246","0.32191908278380155","7760.9096","0","0","0","0","0","0","0","0"
"State","US / Georgia","1658.9200000000001","966.08969999999999","41.473300000000002","132.71360000000001","692.83029999999997","518.64340000000004","0.41763936778144817","0.31263918694090131","1658.9200000000001","0","0","0","0","0","0","0","0"
"State","US / Illinois","2828.0895999999998","1563.9242999999999","70.7029","226.24719999999999","1264.1652999999999","967.21519999999998","0.44700327033485787","0.3420030256467122","2828.0895999999998","0","0","0","0","0","0","0","0"
"State","US / Kentucky","216.96000000000001","81.143100000000004","5.4241000000000001","17.3568","135.8169","113.036","0.62599972345132748","0.52099926253687312","216.96000000000001","0","0","0","0","0","0","0","0"
"State","US / Massachusetts","2049.0981999999999","1105.8099999999999","51.227499999999999","163.92789999999999","943.28819999999996","728.13279999999997","0.46034309141455493","0.35534304798081418","2049.0981999999999","0","0","0","0","0","0","0","0"
"State","US / Minnesota","91.280000000000001","55.518799999999999","2.2820999999999998","7.3023999999999996","35.761200000000002","26.1767","0.39177475898334796","0.28677366345311128","91.280000000000001","0","0","0","0","0","0","0","0"
"State","US / Mississippi","82.590000000000003","50.684699999999999","2.0648","6.6071999999999997","31.9053","23.2333","0.38630948056665454","0.28130887516648506","82.590000000000003","0","0","0","0","0","0","0","0"
"State","US / Missouri","81.459999999999994","30.466100000000001","2.0366","6.5167999999999999","50.993899999999996","42.4405","0.62599926344218026","0.52099803584581394","81.459999999999994","0","0","0","0","0","0","0","0"
"State","US / Montana","92.079999999999998","34.438000000000002","2.3020999999999998","7.3663999999999996","57.642000000000003","47.973500000000001","0.62599913119026929","0.520998045178106","92.079999999999998","0","0","0","0","0","0","0","0"
"State","US / New York","4124.1899999999996","2386.0021000000002","103.1052","329.93520000000001","1738.1878999999999","1305.1475","0.42146164458960428","0.31646153547726946","4124.1899999999996","0","0","0","0","0","0","0","0"
"State","US / North Carolina","7.2800000000000002","2.7227999999999999","0.18210000000000001","0.58240000000000003","4.5571999999999999","3.7927","0.62598901098901094","0.52097527472527472","7.2800000000000002","0","0","0","0","0","0","0","0"
"State","US / Ohio","359.18000000000001","137.8938","8.9801000000000002","28.734400000000001","221.28620000000001","183.57169999999999","0.61608719861907679","0.51108552814744701","359.18000000000001","0","0","0","0","0","0","0","0"
"State","US / Oregon","1170991.5397000001","683677.46669999999","29274.912499999999","93679.324999999997","487314.07299999997","364359.83549999999","0.41615507582987876","0.31115496837265494","1167987.7297","3003.8099999999999","0.0025717821545706947","0.00042138287000487162","0.0004213783089818679","0","0","0","0"
"State","US / South Carolina","2434.9200000000001","1329.2553","60.8733","194.7936","1105.6647","849.99779999999998","0.45408666403824355","0.34908654083091023","2434.9200000000001","0","0","0","0","0","0","0","0"
"State","US / Texas","1789.0999999999999","1016.3613","44.728200000000001","143.12799999999999","772.73869999999999","584.88250000000005","0.43191476161198367","0.32691437035380916","1789.0999999999999","0","0","0","0","0","0","0","0"
"State","US / Utah","4419.5799999999999","2669.7501999999999","110.4898","353.56639999999999","1749.8298","1285.7736","0.39592671701835919","0.29092664913860594","4419.5799999999999","0","0","0","0","0","0","0","0"
"State","US / Virginia","39.979999999999997","14.9526","0.99960000000000004","3.1983999999999999","25.0274","20.8294","0.62599799899949971","0.52099549774887444","","39.979999999999997","","0.62599799899949971","0.52099549774887444","0","0","0","0"
"State","US / Washington","2467248.3415000001","1439644.2490000001","61681.472500000003","197379.87169999999","1027604.0925","768542.74829999998","0.41649803759732307","0.31149792883547067","2461160.3415000001","6088","0.0024736299774315213","0.00032439330897915397","0.00032438939299789249","0","0","0","0"
"State","US / Wyoming","7115.0100000000002","4209.3509000000004","177.87559999999999","569.20079999999996","2905.6590999999999","2158.5826999999999","0.4083844014274049","0.30338435223562582","7115.0100000000002","0","0","0","0","0","0","0","0"
"Total","All","29358677.220699999","17277793.5757","733969.6091","2348694.2300999998","12080883.645","8998219.8058000002","0.41149277789947902","0.30649268487667425","29312982.500700001","45694.720000000001","0.0015588560460850001","0.0002302696537856419","0.00023026687517557765","0","0","0","0"
"Year","2010","43421.036399999997","25572.063999999998","1085.5265999999999","3473.683","17848.972399999999","13289.7628","0.41106739681598203","0.30606737889839958","","43421.036399999997","","0.41106739681598203","0.30606737889839958","0","0","0","0"
"Year","2011","7075525.9291000003","4231462.1909999996","176888.2574","566042.0858","2844063.7381000002","2101133.3949000002","0.40195792745285891","0.29695791040190028","43421.036399999997","7032104.8926999997","161.95156716019795","-0.0091094693631231238","-0.0091094684964992956","0","0","0","0"
"Year","2012","5842485.1952","3414478.1693000002","146062.23499999999","467398.85649999999","2428007.0258999998","1814545.9343999999","0.41557777979390914","0.31057775480385869","7075525.9291000003","-1233040.7339000001","-0.17426842135208478","0.013619852341050231","0.013619844401958403","0","0","0","0"
"Year","2013","16351550.34","9586139.3690000009","408791.13640000002","1308124.0271999999","6765410.9709999999","5048495.8074000003","0.41374737137004708","0.30874722594652759","5842485.1952","10509065.1448","1.7987320110684941","-0.0018304084238620622","-0.0018305288573310929","0","0","0","0"
"Year","2014","45694.720000000001","20141.7824","1142.4537","3655.5776000000001","25552.937600000001","20754.906299999999","0.55920985181657745","0.45420797632636767","16351550.34","-16305855.619999999","-0.99720548088408356","0.14546248044653037","0.14546075037984008","0","0","0","0"
